case,angle_deg,alignment,seed,volatility,bound_fd,bound_chain,bound_jv,terminal_risk,initial_risk,max_risk,mean_gain,mean_hazard
wrong,90.0,6.123234262925839e-17,1,0.005602227898091669,0.012924061157728584,0.008868572888199264,2.745065535084796,0.23174849152565002,0.02429014816880226,0.24914458394050598,33.55839045454816,26.684321534079423
wrong,90.0,6.123234262925839e-17,2,0.002970936136128706,0.008708122965253489,0.0043879765066637075,1.9687509926006443,0.18197454512119293,0.02518298663198948,0.19287750124931335,23.803161295448863,19.131598197523584
wrong,90.0,6.123234262925839e-17,3,0.0049735247880368354,0.023854179511665626,0.007977384348128603,2.8549972312194223,0.21588410437107086,0.018765339627861977,0.2668260931968689,34.66162193112257,27.75084053191585
wrong,90.0,6.123234262925839e-17,4,0.004690047034008069,0.027593874436324342,0.0074780845793277805,2.229588148233802,0.22569608688354492,0.0232035294175148,0.26943349838256836,27.26415620199064,21.67581538267198
wrong,90.0,6.123234262925839e-17,5,0.005889345262490313,0.026862102593288827,0.009147296313010124,2.5556709866904566,0.30839505791664124,0.017926953732967377,0.30839505791664124,31.273651960419446,24.846971222797077
wrong,90.0,6.123234262925839e-17,6,0.006848175369613511,0.02179543780707338,0.011716254337345992,3.0754630514103143,0.28248462080955505,0.021955246105790138,0.28248462080955505,37.372756027593844,29.890025890606598
wrong,90.0,6.123234262925839e-17,7,0.006421219676284697,0.02765439954967882,0.010777022494359797,3.2244028440314323,0.3036033809185028,0.025040462613105774,0.3036033809185028,39.263102554693454,31.350956236948583
wrong,90.0,6.123234262925839e-17,8,0.004738003608115058,0.016814778219588444,0.008042313867149625,1.8061234201150183,0.2309812307357788,0.01795848272740841,0.2309812307357788,22.020744509813262,17.557697264489455
wrong,90.0,6.123234262925839e-17,9,0.006603387636891688,0.01600557457809674,0.010276556793720616,2.2478518229185678,0.2753659188747406,0.032303206622600555,0.2798193693161011,27.38869578663896,21.84800860128604
wrong,90.0,6.123234262925839e-17,10,0.005437847042346018,0.01565420333501447,0.008783438446486155,2.0933723189218134,0.25393736362457275,0.03133894130587578,0.2542659044265747,25.52338804849764,20.348927893727357
wrong,90.0,6.123234262925839e-17,11,0.006489942535660002,0.029111548033333535,0.010345473210172729,3.148349757498717,0.2882082462310791,0.02256126143038273,0.2882082462310791,38.41112685785061,30.602932172113803
wrong,90.0,6.123234262925839e-17,12,0.006918790534480147,0.025710886859075813,0.01115450078412014,3.031775938678023,0.300904780626297,0.01959390752017498,0.300904780626297,36.76586867541802,29.46823924162691
wrong,90.0,6.123234262925839e-17,13,0.00787637950082864,0.025153620648505928,0.011133390655407837,2.6973624794263937,0.29986149072647095,0.026557940989732742,0.29986149072647095,32.76210650002084,26.217534454725488
wrong,90.0,6.123234262925839e-17,14,0.006425006485956545,0.022616537145210093,0.01040945838609303,2.367688375344163,0.272397518157959,0.024042362347245216,0.272397518157959,28.916763259143366,23.014807002816227
wrong,90.0,6.123234262925839e-17,15,0.006600973109151129,0.025509398307080117,0.010534675201002094,2.5870131456766194,0.2558199167251587,0.02654551900923252,0.2776382565498352,31.538944104822672,25.148528744301547
wrong,90.0,6.123234262925839e-17,16,0.005864552528711448,0.027506973084073738,0.008859098058392698,2.2126330762137294,0.267789363861084,0.019277455285191536,0.28516846895217896,26.97539548176091,21.511948358731672
wrong,90.0,6.123234262925839e-17,17,0.006955433197520545,0.024824390399548795,0.010778447772162731,2.3926536183183997,0.27680304646492004,0.015325402840971947,0.28252750635147095,28.9444920609637,23.253902632823777
wrong,90.0,6.123234262925839e-17,18,0.0035276778755165576,0.013361337879631287,0.005534245500278155,2.0134924926159767,0.18169783055782318,0.0201768409460783,0.2019178867340088,24.3560364886028,19.566832320295475
wrong,90.0,6.123234262925839e-17,19,0.0036184660498128243,0.010712281666294354,0.005787214058602118,1.7273746151155844,0.21801798045635223,0.023073725402355194,0.21801798045635223,21.01987675922673,16.79302140928423
