method,lambda,seed,volatility,bound_fd,bound_chain,bound_jv,terminal_risk,initial_risk,max_risk,mean_gain,mean_hazard
dtr,0.01,12,0.00036586336236221095,0.002062478827614709,0.0005239279760065099,0.28765668048326687,0.11871813237667084,0.057055436074733734,0.11871813237667084,3.4441812561779486,2.7949513561458765
dtr,0.01,13,0.00045784394978081534,0.0023797219799262383,0.0005644766457425659,0.2718677858676347,0.11037829518318176,0.05484465882182121,0.11741253733634949,3.270378647781,2.6420328679065315
dtr,0.01,14,0.0005759636962534639,0.004051090913747781,0.000754814624775286,0.285111891711562,0.12243474274873734,0.05682065337896347,0.13137409090995789,3.4176190190198943,2.770326962319483
dtr,0.01,15,0.0006197338413627185,0.0032385191719934508,0.0008074267347217083,0.29653215812637007,0.11715662479400635,0.05442766472697258,0.13857100903987885,3.552553554860557,2.881006763047783
dtr,0.01,16,0.0002935385776472913,0.0015210025882560674,0.0004055074735782204,0.2907347805379282,0.11057540029287338,0.053642287850379944,0.11057540029287338,3.4720303081884616,2.8245708937823784
dtr,0.01,17,0.0005518601076779848,0.004370270907788514,0.0007149333282144095,0.26058917556193667,0.13102716207504272,0.056358445435762405,0.13102716207504272,3.120298908977974,2.5319331013935886
dtr,0.01,18,0.00030149253281050263,0.0019545567963949067,0.00037300714163923595,0.2566266904800615,0.09016981720924377,0.049975987523794174,0.10345122963190079,3.0815642170789763,2.4933696083065726
dtr,0.01,19,0.00044616885195937483,0.002621151024997613,0.0006074961397918631,0.2757378157960806,0.11401791125535965,0.04716496914625168,0.11401791125535965,3.302692983208633,2.678859366795283
dtr,0.03,0,0.0001233997040791933,0.001446574028542117,0.0001644681001709871,0.12326297534827088,0.11137380450963974,0.09128659218549728,0.1270626336336136,1.4780916353551352,1.1976519245561088
dtr,0.03,1,0.0003015923173478844,0.003483236060951125,0.0003461410053894528,0.12952683726068787,0.14362257719039917,0.08875446021556854,0.14807553589344025,1.5530037094907063,1.258479863929948
dtr,0.03,2,0.00014209025361204826,0.0027057164973799783,0.00017755219194004856,0.12505475238042124,0.12519709765911102,0.09832356870174408,0.14025546610355377,1.5003963011067087,1.2150720193771964
dtr,0.03,3,0.00028942625021751117,0.0024528966925478606,0.00038290542805908466,0.14298885363092648,0.1348448395729065,0.09060324728488922,0.14425209164619446,1.71879169708345,1.389313680174459
dtr,0.03,4,0.00018546626099178243,0.002875931783539386,0.00020622029104493778,0.12562641252162293,0.1297403872013092,0.0831029936671257,0.1381469964981079,1.4976620412454373,1.2204646549235987
dtr,0.03,5,0.00014316561038049715,0.002903695302788188,0.00015544062290059386,0.12244549430352367,0.13696511089801788,0.09947594255208969,0.13696511089801788,1.471290614546799,1.1898701908806633
dtr,0.03,6,0.00025143118041403336,0.004691725690657681,0.00025213232187456364,0.13447018943913522,0.1535169929265976,0.10283997654914856,0.1535169929265976,1.6128679281327782,1.3065637298411517
dtr,0.03,7,5.6425222413490866e-05,0.0031565984700689174,8.012342109264237e-05,0.14612996809712983,0.11927127838134766,0.10000087320804596,0.11927127838134766,1.7541196840565378,1.4198940449737423
dtr,0.03,8,0.00015794712398993193,0.00197608794347585,0.00019950951405190605,0.12278576811611988,0.12928833067417145,0.09902066737413406,0.1390528380870819,1.471592094840073,1.1930723026737116
dtr,0.03,9,0.00024604460940980995,0.0025809154879932366,0.0003042557091464041,0.132834663849309,0.13992749154567719,0.09337226301431656,0.1435205638408661,1.5921495077086658,1.290710832817305
dtr,0.03,10,0.00018588679898580548,0.0025554062823267064,0.00022374333006265084,0.1338267473253384,0.13435760140419006,0.09605631232261658,0.1453525424003601,1.6043295802139654,1.3002130411686879
dtr,0.03,11,0.00019458409103460654,0.002721459656333995,0.00022328296473361387,0.13185893511223354,0.12704168260097504,0.09137102961540222,0.13012519478797913,1.5821257131855662,1.2810549633101387
dtr,0.03,12,0.00016473569146329827,0.002059840004219236,0.00020469883174144344,0.11519479102220992,0.1385604292154312,0.09961562603712082,0.1385604292154312,1.379866855900462,1.1194729821033942
dtr,0.03,13,0.0001634916051125207,0.0023864720746559795,0.00018349513834433609,0.13004236184244938,0.1233515590429306,0.09437353163957596,0.13177233934402466,1.5633965120082949,1.2635805011368777
dtr,0.03,14,0.00029400838050219205,0.004154320379334458,0.00035104497639483907,0.14284128595299003,0.13607382774353027,0.09481481462717056,0.15033596754074097,1.7091638460391905,1.387631921442995
dtr,0.03,15,0.00027726569476272707,0.0030221798511060544,0.00030664035752851797,0.14032645290431933,0.1274152547121048,0.09221253544092178,0.14935433864593506,1.6851592529110793,1.3633872620631433
dtr,0.03,16,0.00011582820360511171,0.0014148431160870875,0.00014679311967281342,0.1324963663831026,0.1256280094385147,0.09003716707229614,0.1256280094385147,1.5920533814081332,1.2876029839949235
dtr,0.03,17,0.0001951530042066748,0.004195623447083858,0.0002287802492106504,0.12625912916943594,0.13919200003147125,0.09944064170122147,0.14486026763916016,1.515244646770198,1.226720715940769
dtr,0.03,18,0.00013470470595900737,0.002165081421469305,0.00013720828940580427,0.13922928246578642,0.10459309816360474,0.08218078315258026,0.12587577104568481,1.6703609053681536,1.3527604011691505
dtr,0.03,19,0.00019007046599355256,0.0033539319574664925,0.00023620181249566012,0.1375018835972391,0.13351397216320038,0.08707743883132935,0.13528400659561157,1.6557114473203334,1.3361386851545412
dtr,0.08,0,7.716681377433972e-05,0.002789954210455116,5.375551094068229e-05,0.04807364636597765,0.14429213106632233,0.139425590634346,0.16529397666454315,0.5770009479871611,0.4671482806158119
dtr,0.08,1,0.00013121699681211318,0.005606649687607591,9.393403432589798e-05,0.04859757783440054,0.18006785213947296,0.14679542183876038,0.1860097497701645,0.5837693723236642,0.47220763743986804
dtr,0.08,2,6.930500280370618e-05,0.004031330085583803,4.537136698325813e-05,0.04481900579639682,0.15277701616287231,0.1449289321899414,0.1737486720085144,0.5392075311846849,0.43551813219184016
dtr,0.08,3,8.37490330860992e-05,0.003520083788549842,8.249176873774999e-05,0.05166229423641572,0.14862236380577087,0.1360589861869812,0.16296875476837158,0.6171633819254433,0.5019218627520912
dtr,0.08,4,6.466286433564236e-05,0.0046201916434677245,3.756821649637831e-05,0.04928289874812855,0.15545737743377686,0.13272374868392944,0.16437245905399323,0.5927020573034519,0.47887926326610647
dtr,0.08,5,6.65632309356485e-05,0.004065011911611023,3.275374305559957e-05,0.04901330056323728,0.16780275106430054,0.1520073115825653,0.16780275106430054,0.5905987722117726,0.47631022475632506
dtr,0.08,6,0.00013069017907938634,0.006870079698319212,7.296108803646173e-05,0.04737365100948438,0.1862509846687317,0.1551496684551239,0.1862509846687317,0.5678271418664513,0.4603360717833299
dtr,0.08,7,5.668764005431176e-05,0.005227134323119145,2.0742808207467692e-05,0.05344109128061321,0.16255009174346924,0.1553976833820343,0.16255009174346924,0.6428742510516469,0.5192978137229797
dtr,0.08,8,7.886820967946264e-05,0.002931022405631712,6.935856970092235e-05,0.04592437253534844,0.16248856484889984,0.15335506200790405,0.17764171957969666,0.5499515082778,0.4462364612905337
dtr,0.08,9,8.775481350677788e-05,0.0038624104139610566,7.443593931466503e-05,0.051382863162486504,0.16857179999351501,0.14545418322086334,0.1696871668100357,0.6175757864626442,0.4992505680723053
dtr,0.08,10,7.416932999443808e-05,0.00346460481892635,6.624562459164483e-05,0.05769786547535876,0.16137546300888062,0.14175091683864594,0.17270193994045258,0.6928626022687773,0.5605338467394053
dtr,0.08,11,8.232432975941134e-05,0.004066772659865483,5.199478155188458e-05,0.0504296175640553,0.15608686208724976,0.14694130420684814,0.1650112122297287,0.6075481001923724,0.4899850734184711
dtr,0.08,12,6.140070083037082e-05,0.0031475889805574818,3.774274949143615e-05,0.049941177541428156,0.16488438844680786,0.14864853024482727,0.166524738073349,0.6010411090967132,0.48531333765348783
dtr,0.08,13,7.84358711177876e-05,0.003735517646177708,4.290702521002533e-05,0.05163711449832006,0.16399170458316803,0.15247106552124023,0.17402613162994385,0.6206684723132994,0.501755970968683
dtr,0.08,14,0.00011620528937006598,0.005241658087539608,9.609840460031443e-05,0.051242155602865366,0.16166271269321442,0.14555670320987701,0.18393918871879578,0.6139839058969079,0.497902148449028
dtr,0.08,15,0.00014514202720002157,0.0039906784531224485,0.00010569182999319242,0.05129421467474225,0.14767153561115265,0.1314297765493393,0.16945548355579376,0.6165905827429237,0.49842208594881077
dtr,0.08,16,7.160214531975239e-05,0.002469378341764193,4.327056150408214e-05,0.0491773017417567,0.16464056074619293,0.14049461483955383,0.16695258021354675,0.5885617122417544,0.4778275078538631
dtr,0.08,17,0.00012093514334579667,0.005566544064471811,0.00010384962535074851,0.04294378310733987,0.16945138573646545,0.14704805612564087,0.17917180061340332,0.5146501551314098,0.41727114545589505
dtr,0.08,18,8.655936663915435e-05,0.004845363750287002,2.0536577608757913e-05,0.05191449407983736,0.14835381507873535,0.1412658393383026,0.17480583488941193,0.622213346202199,0.5044049787200833
dtr,0.08,19,9.72534067361972e-05,0.0043830520812183985,7.64389607433615e-05,0.050022794234548563,0.1641341745853424,0.1327076554298401,0.17473696172237396,0.601816648390235,0.486091056633978
isotropic,0.01,0,0.000515106750779609,0.001542090302674983,0.0007737391778514358,0.29208414450161185,0.11722507327795029,0.0558660663664341,0.12405680119991302,3.5043640020417004,2.837961223620219
isotropic,0.01,1,0.0008997597241321015,0.002311914992940392,0.0011989843549622123,0.3074458617944407,0.14407041668891907,0.05508405715227127,0.1478137969970703,3.681102834096769,2.9869581980232778
isotropic,0.01,2,0.0005504295938698178,0.001573027404979257,0.0007781880547709356,0.2957356179063702,0.12174668163061142,0.058210231363773346,0.13068851828575134,3.5351505628446254,2.8731359360580067
isotropic,0.01,3,0.0009633942613048997,0.0034599316946033474,0.0013232144181934585,0.30707312744063037,0.14339877665042877,0.054462775588035583,0.15995441377162933,3.673223152393248,2.982632127848091
isotropic,0.01,4,0.0005770307022388811,0.002911132584061741,0.0007922534908456696,0.2909256369019914,0.12475813180208206,0.04897863790392876,0.1373991072177887,3.488109466506214,2.826512430435908
isotropic,0.01,5,0.0005498367291374793,0.0027774272072415445,0.0007339624438165055,0.29506165432352477,0.14256909489631653,0.05764714628458023,0.14256909489631653,3.542524320323293,2.867431410527198
isotropic,0.01,6,0.0007262687776966318,0.0032514144230217845,0.0009790856623431226,0.3020348326378791,0.14859934151172638,0.061130452901124954,0.14859934151172638,3.611782207721617,2.934503366274304
isotropic,0.01,7,0.00044651136075868667,0.0026159661114645793,0.0006808231736282122,0.30871015887034264,0.13486847281455994,0.06101873144507408,0.13486847281455994,3.6942253636150824,2.9994032533805357
isotropic,0.01,8,0.0005383386530181198,0.0022769324224029257,0.0007985877774359118,0.30312967934733276,0.12604333460330963,0.05590762943029404,0.12604333460330963,3.630386340908888,2.9450801638835293
isotropic,0.01,9,0.0006965048788067206,0.0022223287657018296,0.0009851643563975412,0.31228084936820255,0.13911592960357666,0.06045028939843178,0.142055481672287,3.737990768944345,3.034096822829095
isotropic,0.01,10,0.0006648363609817668,0.0021894708870308765,0.000956226430358827,0.2962982861622197,0.13534972071647644,0.06132477521896362,0.14383827149868011,3.5622656868725286,2.8790851090130856
isotropic,0.01,11,0.0007403154379001742,0.0029778553747267997,0.0009826618448939817,0.30585312665502457,0.13790813088417053,0.05187688767910004,0.13790813088417053,3.6670899507476062,2.971600290142984
isotropic,0.01,12,0.0006205749504465424,0.002224137793907349,0.0008917779214214805,0.3205630105671974,0.14143477380275726,0.06073509156703949,0.14143477380275726,3.8325354180684905,3.114135922055332
isotropic,0.01,13,0.0006556995767741692,0.0022081750642019026,0.0008530551642129766,0.30148539914579364,0.13116177916526794,0.05908985435962677,0.13292472064495087,3.6140506849056337,2.9297067055313284
isotropic,0.01,14,0.0008687616399921898,0.003604509358884153,0.0011775142840051728,0.3074512584284586,0.14358370006084442,0.05832388997077942,0.15153728425502777,3.679308048108729,2.9866909469267573
isotropic,0.01,15,0.0008551431050175673,0.0033919069002905085,0.00114381973117418,0.32831942052883045,0.13770750164985657,0.05988156422972679,0.15614965558052063,3.9302452192073916,3.189801172385184
isotropic,0.01,16,0.0005019950171253704,0.0018304116394450291,0.0007049033488012958,0.30667902839752936,0.1311763972043991,0.057112596929073334,0.1311763972043991,3.662882008203646,2.9794088304897204
isotropic,0.01,17,0.0008234695373019483,0.003919257812899454,0.0011171140302752988,0.2806802515652791,0.15006306767463684,0.05772905796766281,0.15006306767463684,3.3691900532420087,2.7273676897518326
isotropic,0.01,18,0.0005263533780190908,0.001941780443151576,0.0007352599191305508,0.2712829178695053,0.10823432356119156,0.04964432120323181,0.120834581553936,3.2531406065312827,2.6354688763007537
isotropic,0.01,19,0.000662928446813534,0.002215521497536903,0.000926181505509497,0.3035938689338554,0.13620445132255554,0.05473550036549568,0.13620445132255554,3.6315365128400847,2.9495885421676076
isotropic,0.03,0,0.0003307693888521677,0.0013023711608324278,0.0004786303838140582,0.15624536798639332,0.15302710235118866,0.10626259446144104,0.1627052128314972,1.8664133228906772,1.5179338024232907
isotropic,0.03,1,0.0005026100217313495,0.0018195219589187117,0.0006560842100007586,0.16394467753866523,0.16806238889694214,0.0996960774064064,0.1716456562280655,1.9642390565174381,1.5927850148240452
isotropic,0.03,2,0.0003259249635670655,0.0011706956434452903,0.0004612336968907193,0.14897086083679084,0.1510738730430603,0.1035865917801857,0.1600048989057541,1.7810018382421353,1.447159272974931
isotropic,0.03,3,0.00045653958355110533,0.002179448075657079,0.0006330603606297795,0.16933267988706124,0.16379433870315552,0.10566195845603943,0.17918145656585693,2.0250424437406584,1.6450599421039171
isotropic,0.03,4,0.00033920613948727356,0.0019428883348164927,0.0004556262097633987,0.15754045418383006,0.15644246339797974,0.09750980138778687,0.16576901078224182,1.886571145639187,1.5306587369872164
isotropic,0.03,5,0.00034197205915471423,0.00214081009632402,0.0004407959854723467,0.17214743869969135,0.17077772319316864,0.10487908869981766,0.17077772319316864,2.075375969816999,1.6728199192313367
isotropic,0.03,6,0.0004999916217793564,0.0029793708477162083,0.000621001508931334,0.1570492366666018,0.18142884969711304,0.11024995148181915,0.18142884969711304,1.8811386998106794,1.525901429527767
isotropic,0.03,7,0.00027794118376882625,0.0022033366615223674,0.0004237730093320922,0.16537026059582774,0.16650360822677612,0.10724340379238129,0.16650360822677612,1.9802204370498657,1.606842640735688
isotropic,0.03,8,0.00035570933240551376,0.0016456347237015986,0.0005058737891802277,0.16034949775775303,0.16142624616622925,0.10694575309753418,0.16142624616622925,1.9202812154118607,1.5577675875267052
isotropic,0.03,9,0.00042733903131254077,0.0017400021976836189,0.0005741263789877803,0.16267472361881183,0.1650606244802475,0.1039956584572792,0.16686563193798065,1.9489093233899373,1.580583332062006
isotropic,0.03,10,0.0005113687353795053,0.001869995329802456,0.0006967771134489456,0.16216682535577592,0.17434851825237274,0.1096917986869812,0.1838390827178955,1.9448159496958664,1.5756083920582518
isotropic,0.03,11,0.0005014574488331589,0.0022809810591294002,0.0006389102524161257,0.15601284055106082,0.1691342443227768,0.10021355003118515,0.16933822631835938,1.869907730963172,1.5159199056948842
isotropic,0.03,12,0.00039766121845125096,0.0016300298852002166,0.0005400963046824542,0.17000226706925117,0.17137672007083893,0.10820150375366211,0.17137672007083893,2.037609987142609,1.6516165633528972
isotropic,0.03,13,0.0004227243267240986,0.0018368111418011154,0.0005239217552870952,0.15537768340747665,0.16616742312908173,0.10814564675092697,0.16734832525253296,1.8625372561012827,1.5098248757764448
isotropic,0.03,14,0.0005551233686112765,0.002766064334319651,0.000727433732367861,0.17191003692109086,0.17236879467964172,0.10543881356716156,0.18020646274089813,2.0628633033938524,1.670257652158429
isotropic,0.03,15,0.0004506403678751028,0.0023901839135148906,0.0005790778005213887,0.16409426862091311,0.1613204926252365,0.10646988451480865,0.17719244956970215,1.966203445341529,1.594168375589214
isotropic,0.03,16,0.000308411776138942,0.0014183031077868503,0.00042505390662817433,0.16354995787434404,0.16342127323150635,0.10393141210079193,0.16342127323150635,1.9575605130777127,1.5890192911499197
isotropic,0.03,17,0.0004370504019490709,0.0027718707607049886,0.0005910415869832158,0.15245444931448315,0.1731087565422058,0.10643135756254196,0.1731087565422058,1.8263476679964763,1.4812582528267701
isotropic,0.03,18,0.0003273612963314396,0.0013661938654550155,0.00042947230633918484,0.16530185737629635,0.14439508318901062,0.09981543570756912,0.15716826915740967,1.9811878960307052,1.605953475094205
isotropic,0.03,19,0.00041362049407582833,0.0017187989709047191,0.0005663347445369458,0.17287876800174784,0.16846060752868652,0.10215878486633301,0.16846060752868652,2.0804134171183515,1.6798861078830565
isotropic,0.08,0,0.00016354850326619831,0.0011574654519093792,0.00022846660167755162,0.07865738000001421,0.20403023064136505,0.17462831735610962,0.21572530269622803,0.945983276134584,0.7642997747909941
isotropic,0.08,1,0.00026490589919645147,0.0015117686833436331,0.0003307388831677791,0.07746163168023074,0.22261282801628113,0.1714445948600769,0.2262582927942276,0.929851209245077,0.7526275997109638
isotropic,0.08,2,0.0001649339692739976,0.0008869573985037329,0.00022968915705502091,0.0741282757480819,0.20439952611923218,0.17251549661159515,0.21360361576080322,0.889618332793073,0.7202584271172245
isotropic,0.08,3,0.00017339382589169576,0.001536465942848257,0.0002508958471781383,0.0820459983957971,0.2062758058309555,0.1740506887435913,0.2205536663532257,0.9848218574756529,0.7971948210267239
isotropic,0.08,4,0.00016922754554310013,0.0014352524058554945,0.00021670374319049716,0.07651408746150136,0.2111361026763916,0.16887106001377106,0.21846891939640045,0.9183637761488194,0.7434342259829767
isotropic,0.08,5,0.00018187570145201972,0.001724960176022819,0.00022377412088849598,0.07646623497237465,0.22163745760917664,0.17392922937870026,0.22163745760917664,0.918772181359733,0.7430165586109282
isotropic,0.08,6,0.00037385474161180367,0.0029924464344310126,0.00042121686880012296,0.07692280893737431,0.2340383529663086,0.17349930107593536,0.2340383529663086,0.9225331384961198,0.7474418731460203
isotropic,0.08,7,0.0001133348881892972,0.0016968196381179702,0.000181697485035512,0.08108307221837995,0.21486373245716095,0.17611275613307953,0.21486373245716095,0.9730207251339424,0.7878528778452821
isotropic,0.08,8,0.00018030763966633576,0.0011879964401148814,0.00025274640900105566,0.07795232350844311,0.2148246020078659,0.1793372929096222,0.21771125495433807,0.9357317555241469,0.7573633171388069
isotropic,0.08,9,0.00021383834209241545,0.001385106787872805,0.00027287295991206467,0.07732728460538724,0.2180730253458023,0.17626936733722687,0.21978850662708282,0.9280083426615087,0.7513458662804519
isotropic,0.08,10,0.00030442719455363597,0.0015733029620661238,0.00039664465604424533,0.07907766874355679,0.22751553356647491,0.17887823283672333,0.2378339171409607,0.9492584946678906,0.7683026708638486
isotropic,0.08,11,0.00027627323767834375,0.001838917894776533,0.0003388964468192277,0.07873545199432701,0.2229558378458023,0.17363201081752777,0.22519850730895996,0.9447406254163603,0.764994768790603
isotropic,0.08,12,0.0002188619341910745,0.001244379809279233,0.0002777855662123755,0.08038889647794886,0.22505970299243927,0.1792634129524231,0.22505970299243927,0.9658632700036212,0.7810483482904023
isotropic,0.08,13,0.0002345404621107376,0.0016253437443049087,0.0002696053859713633,0.07808080070984368,0.2223927080631256,0.17901253700256348,0.22303718328475952,0.938879412848775,0.7587364623427727
isotropic,0.08,14,0.0003447063912148467,0.0021816188420981384,0.00043425704489754197,0.0772264334722094,0.22339482605457306,0.17130161821842194,0.23276782035827637,0.926609036399097,0.7503589974909604
isotropic,0.08,15,0.00023557446980840212,0.0019158084661333188,0.00027979111674387226,0.07959583127648892,0.21146026253700256,0.1734485626220703,0.2257104068994522,0.9553403956134144,0.7733480750283928
isotropic,0.08,16,0.0001432691311417331,0.0011210819620640008,0.0001946188222485293,0.08044201666776814,0.21499747037887573,0.17226043343544006,0.21499747037887573,0.965995901968421,0.7816213140905652
isotropic,0.08,17,0.00020301802841374208,0.0020365479783914357,0.000274339087526279,0.0758662707573077,0.219607874751091,0.17510049045085907,0.22128862142562866,0.9096373334163572,0.7371223780809805
isotropic,0.08,18,0.00017198630422877493,0.0010798542644912643,0.0002098576872320173,0.08061716500613882,0.19868966937065125,0.16863515973091125,0.21127697825431824,0.9712662042641058,0.7833835048140126
isotropic,0.08,19,0.00021106283891600067,0.0013227550135814898,0.0002877228857077157,0.08032179537346683,0.22114945948123932,0.1719575971364975,0.22114945948123932,0.9678197255948695,0.7805239376951227
standard,0.0,0,0.001477879416044772,0.005423275034910515,0.002498694038329824,3.1691681065683817,0.12911354005336761,0.019553547725081444,0.1432667374610901,38.491687495534016,30.80748626180346
standard,0.0,1,0.004774752363333106,0.014031755101233183,0.00711031628915454,4.189887663195961,0.21229706704616547,0.016864601522684097,0.22983860969543457,51.28567532795231,40.73494834383423
standard,0.0,2,0.0014749140772430897,0.005719460704036566,0.0022187377250490847,2.178193821184897,0.12032602727413177,0.020533762872219086,0.13747954368591309,26.616575101526774,21.17524692060224
standard,0.0,3,0.0062952545057210285,0.03599816358905109,0.01001521035529596,5.9986750713349375,0.23789171874523163,0.017333079129457474,0.29705336689949036,73.1450988955614,58.30582594062498
standard,0.0,4,0.0020958329919653265,0.01844776040168553,0.0031426340771003288,3.390043764095008,0.15872034430503845,0.012237630784511566,0.19176551699638367,41.26668502063286,32.95181135024383
standard,0.0,5,0.004011609614908535,0.030262818881875958,0.005821203594310802,3.9468751058728038,0.2676590085029602,0.01095430739223957,0.2676590085029602,48.14708309638791,38.37302107452311
standard,0.0,6,0.0035451511093641227,0.013806319242739333,0.005693563607072594,2.4488968104105693,0.21916520595550537,0.019318297505378723,0.21916520595550537,29.91902048994855,23.80680689607321
standard,0.0,7,0.002661996405670238,0.01308550239725796,0.004311608588242974,4.272448233649747,0.1944996863603592,0.01740964688360691,0.1944996863603592,51.93931700543659,41.54397783281691
standard,0.0,8,0.0022034813504925995,0.01682773258918897,0.003740529413703724,3.0989927215083117,0.16073228418827057,0.012596113607287407,0.16073228418827057,37.68258732121165,30.126975502616578
standard,0.0,9,0.002721778140606584,0.011449217443800511,0.0043513228863099485,1.9136400543266372,0.17607563734054565,0.018661318346858025,0.18457862734794617,23.412313926510695,18.60380469242161
standard,0.0,10,0.0028480671955310147,0.01685145505876825,0.004603693674889727,3.254779329602185,0.17555555701255798,0.028335558250546455,0.19551348686218262,39.7635554802127,31.644835717471857
standard,0.0,11,0.002385246933987517,0.02003831426555977,0.003916593287673442,3.5208134165087333,0.18704359233379364,0.015163348987698555,0.18704359233379364,42.94620997731278,34.227133165589834
standard,0.0,12,0.00762978161877479,0.042026407142837376,0.012942226834562481,5.781081452207525,0.3268519639968872,0.01858118735253811,0.3268519639968872,70.43814635858303,56.211530922519735
standard,0.0,13,0.0036870475001273325,0.014244342006302469,0.005343602861101032,2.967843576799993,0.1916380077600479,0.017669085413217545,0.20755138993263245,36.08661251533322,28.84876571729339
standard,0.0,14,0.005138471864355656,0.025144812183639533,0.008016425895207891,3.380613149309659,0.23330044746398926,0.013601498678326607,0.25696712732315063,41.37805017610876,32.86615333549712
standard,0.0,15,0.002902376918873296,0.016395452694706523,0.00502697185327866,2.9255293736232564,0.15590646862983704,0.018130818381905556,0.18461869657039642,35.669771334020105,28.440128757750816
standard,0.0,16,0.001981297874232495,0.010074255048603263,0.003060599922808902,2.652177315967969,0.16053274273872375,0.011872796341776848,0.16053274273872375,32.17175972170946,25.782286457968283
standard,0.0,17,0.0038925056579960223,0.020256344499533254,0.005738865889724755,3.9037793687062528,0.20908834040164948,0.01448946911841631,0.20908834040164948,46.91261831144007,37.93637444054399
standard,0.0,18,0.0016754884987395205,0.01257320245219286,0.002796512679678492,2.729884297326861,0.11455100029706955,0.012186611071228981,0.14044909179210663,33.07743035293207,26.535745946211364
standard,0.0,19,0.0015938513129440674,0.006687348852427412,0.002631636343085546,2.399476134754388,0.14029529690742493,0.016449782997369766,0.14029529690742493,29.068856029975706,23.32160830587099
